Date ,Tweet,,,,,,,,,,Mention
6/10/16 11:30,FLASH: Nueva Vizcaya niyanig ng magnitude 4.8 na lindol kaninang 2:52 ng madaling araw. | via @phivolcs_dost,,,,,,,,,,@dzrhnews
3/23/16 15:24,#EarthquakePH Information No. 1 23 Mar 2016 - 02:59 PM Location: Marihatag (Surigao Del Sur) Magnitude: 3.1,,,,,,,,,,@philredcross 
3/22/16 21:39,#EarthquakePH Information No.1 22Mar-09:16PM Location:San Julian (Eastern Samar) Magnitude: 2.6 |via @phivolcs_dost,,,,,,,,,,@philredcross 
3/5/16 12:32,#EarthquakePH Information No. 1 Date and Time: 05 Mar 2016 - 11:58 AM Magnitude: 2.4 Location: Calatagan (Batangas),,,,,,,,,,@philredcross 
6/6/16 21:28,#EarthquakePH #EarthquakeDavaoOccidental Earthquake Information No. 1 Date and Time: 06 June 2016 - 09:10 PM...,,,,,,,,,,@phivolcs_dost
5/23/16 5:05,#EarthquakePH #EarthquakePangasinan Earthquake Information No. 1 Date and Time: 23 May 2016 - 04:39 AM Magnitude...,,,,,,,,,,@phivolcs_dost
4/18/16 2:34,#EarthquakePH #EarthquakeSurigaoDelSur Earthquake Information No. 1 Date and Time: 18 Apr 2016 - 02:21 AM..,,,,,,,,,,@phivolcs_dost
4/17/16 20:48,#EarthquakePH #EarthquakeTarlac Earthquake Information No. 1 Date and Time: 17 Apr 2016 - 08:24 PM Magnitude =...,,,,,,,,,,@phivolcs_dost
3/30/16 2:24,#EarthquakePH #EarthquakeCagayan Earthquake Information No. 1 Date and Time: 30 Mar 2016 - 02:07 AM Magnitude =...,,,,,,,,,,@phivolcs_dost
3/16/16 20:05,#EarthquakePH Information No. 1 16Mar-07:39pm Magnitude: 3.4 Location: San Esteban (Ilocos Sur) | via @phivolcs_dost,,,,,,,,,,@philredcross 
3/13/16 14:14,#EarthquakePH Information No. 1 13Mar-01:51PM Magnitude:4.7 Location: Paracle (Camarines Norte) | via @phivolcs_dost,,,,,,,,,,@philredcross 
3/7/16 20:12,#EarthquakePH #EarthquakeNueva Vizcaya Earthquake Information No. 1 Date and Time: 07 Mar 2016 - 07:45 PM..,,,,,,,,,,@phivolcs_dost
3/6/16 15:24,#EarthquakePH Information No. 1 Magnitude: 2.2 Location: Mamburao (Occidental Mindoro) | via @phivolcs_dost,,,,,,,,,,@philredcross 
3/5/16 12:32,#EarthquakePH Information No. 1 Date and Time: 05 Mar 2016 - 11:58 AM Magnitude: 2.4 Location: Calatagan (Batangas),,,,,,,,,,@philredcross 
8-May-16,"#Dodong Signal no. 1; Rest of Aurora, Abra, Ilocos Sur/Norte, Benguet, Nueva Ecija, Nueva Vizcaya",,,,,,,,,,@dzbb
2-Mar-15,Bagyong #Chedeng inaasahan hindi makakaapekto sa Romblon dahil sa kanyang paghina,,, ,,,,,,,@RomblonNews
4-Mar-15,24 #Oras: #Pagasa: #Lumabas na ng par ang lpa na #Dating #Bagyong ,,,,,,,,,,@newsinvideos
"March 6,2015","Mga #Tinamaan ni '#Chedeng', #walang #Naiulat na #Sugatan o #Sawi",,,,,,,,,,@newsinvideos
"March 5,2016",UB: #NDRMMC: #Zero #Casualty sa #Bagyong #Chedeng,,,,,,,,,,@newsinvideos
"March 5,2016","#Bagyong #chedeng,isa nang low #pressure #Area",,,,,,,,,,@newsinvideos
"March 4,2016","#Isabela, #Makulimlim na #Dahil kay '#Chedeng'",,,,,,,,,,@nes
3/3/16,"11AM dost_pagasa Bulletin: Typhoon #Chedeng, bahagyang bumilis habang papalapit sa Isabela-Aurora via DZMM",,,,,,,,,,@BalitaNgayon
"March 3,2016",BT: #Malakas na #ulang #Dala ng #bagyong #Papangalanang '#Chedeng',,,,,,,,,,@newsinvideos
7-Jul-15,"Pinsala ng bagyong #Egay,umabot na ng P165-M ayon sa @NDRRMC_OpCen | via @AdmarV26",,,,,,,,,,@DZAR1026
7-Jul-15,"Breaking: Bagyong #FalconPh, nakapasok na ng PAR kaninang 9:30PM",,,,,,,,,,@dost_pagasa
7/5/15 0:46,"NDRRMC Operation Center, isinailalim na sa red alert #Egay PH ",,,,,,,,,,@brigadadotph
7/4/15 16:13,#Superbalita headline: Bagyong #Egay inaasahang muling magla-landfall sa Batanes!,,,,,,,,,,@dzbb
7/4/15 16:12,"#Superbalita headline: Bagyong #Egay, hindi gumagalaw sa loob ng 6 oras matapos maglandfall sa Palanan, Isabela kagabi.",,,,,,,,,,@dzbb
7/4/15 7:59,"PSWS #2 > Kalinga, Apayao, Isabela, Quirino, Northern Aurora, Cagayan including Babuyan and Calayan Grp. of Islands. ll @dost_pagasa #Egay",,,,,,,,,,@dzrhnews
7/2/15 20:00,"Bagyong '#Egay', napanatili ang lakas habang palapit sa northern Luzon #RHBalitaAgad",,,,,,,,,,@dzrhnews
