Date/Time,Tweets,Account
6:32 AM - 11 Oct 2016,"JUST IN: Aktor na si Dick Israel, pumanaw na, ayon sa kasamahang aktres na si Vivian Velez.",@DZMMTeleRadyo
4:11 AM - 11 Oct 2016,"TINGNAN: Sunog sa isang restaurant sa Brgy. South Triangle cor. Sgt. Esguerra, QC | Photos by Gigie Cruz",@DZMMTeleRadyo
3:26 AM - 11 Oct 2016,"Paglayo ng administrasyong Duterte sa impluwensya ng US, suportado ng grupong BAYAN | via @jonibanez35",@DZMMTeleRadyo
2:29 AM - 11 Oct 2016,"TINGNAN: #WalangPasok sa San Carlos City, Negros Occ. sa Nov.4 dahil sa annual festival ng lungsod | via @dzmmRP45",@DZMMTeleRadyo
2:00 AM - 11 Oct 2016,"JUST IN: San Beda Red Lions, kampeon sa 20th NCAA men's baskeball matapos talunin ang Arellano #NCAASeason92",@DZMMTeleRadyo
1:50 AM - 11 Oct 2016,"TINGNAN: UE Dean Amado Valdez, inappoint bilang bagong chairman ng Social Security Commission (policy-making body ng SSS) | via @dzmmRP45",@DZMMTeleRadyo
1:00 AM - 11 Oct 2016,"#WalangPasok sa Loyola Schools (undergraduate at graduate) simula 5 p.m. ngayong araw, Martes, Oct. 11, 2016 | via @ateneodemanilau",@DZMMTeleRadyo
12:46 AM - 11 Oct 2016,"TINGNAN: Makakapal na ulap ang natatanaw sa McKinley Hill, Taguig (Litrato mula kay @iamsarah18) #WeatherPatrol",@DZMMTeleRadyo
12:34 AM - 11 Oct 2016,"Higit 3000 provincial bus, maaalis sa EDSA kung matatanggal ang mga terminal sa QC, ayon sa atty ng Solid North Transit | via @jonibanez35",@DZMMTeleRadyo
4:20 PM - 12 Oct 2016,"#RadyoPatrol Cong. Robert Barbers at Cong. Prospero Pichay, nagkainitan sa pagdinig sa Cha-cha | ulat ni RP47 @robertmanodzmm",@DZMMTeleRadyo
4:08 PM - 12 Oct 2016,"#RadyoPatrol Nationwide firecracker ban, pinag-aaralan ipatupad ayon sa Palasyo",@DZMMTeleRadyo
4:07 PM - 12 Oct 2016,"#RadyoPatrol Isa patay at 24 sugatan sa pagsabog ng tindahan ng paputok sa Bocaue, Bulacan",@DZMMTeleRadyo
3:03 PM - 12 Oct 2016,"Ilang kongresista, pumabor na sa Con-Ass na paraan ng pagpapalit ng Konstitusyon | via @robertmanodzmm",@DZMMTeleRadyo
12:21 PM - 12 Oct 2016,#RadyoPatrol Pagsabog yumanig sa isang bodega ng paputok sa Bulacan,@DZMMTeleRadyo
12:13 PM - 12 Oct 2016,"#RadyoPatrol Panukalang pagpapaliban ng barangay at SK elections, patuloy pang pinag-aaralan ng Palasyo | Ulat ni RP 45 @dzmmRP45",@DZMMTeleRadyo
8:12 PM - 11 Oct 2016,"Sunog sa Sgt. Esguerra, QC, idineklara nang under control ng BFP | via Gigie Cruz",@DZMMTeleRadyo
7:46 PM - 11 Oct 2016,"Isang restaurant sa Brgy. South Triangle cor. Sgt. Esguerra, Quezon City nasusunog | via @RayaCapulong",@DZMMTeleRadyo
7:26 PM - 11 Oct 2016,"Paglayo ng administrasyong Duterte sa impluwensya ng US, suportado ng grupong BAYAN | via @jonibanez35",@DZMMTeleRadyo
4:33 PM - 11 Oct 2016,#RadyoPatrol Mga kabataan nagprotesta sa US embassy sa paggunita ng death anniversay ni Laude,@DZMMTeleRadyo
4:20 PM - 11 Oct 2016,"#RadyoPatrol Midnight deal na umano'y pinasok ni Usec Leo Jasareno, pinaiimbestigahan na ni DENR Sec. Gina Lopez | ulat ni RP35 @jonibanez35",@DZMMTeleRadyo
2:21 PM - 11 Oct 2016,"3 Taiwanese, 1 Chinese patay sa Pampanga bit.ly/2elWEHr",@DZMMTeleRadyo
12:54 PM - 11 Oct 2016,"Pagpili sa Salita ng Taon, hindi batay sa popularidad, ayon sa Filipinas Institute of Translation | via @zhandercayabyab",@DZMMTeleRadyo
12:52 PM - 11 Oct 2016,"Butanding na na-trap sa fish fence, iniligtas ng taumbayan",@DZMMTeleRadyo
12:48 PM - 11 Oct 2016,"Negros Island Region, posibleng mahati muli sa 2 lalawigan | Ulat ni @feanneperez",@DZMMTeleRadyo
1:01 PM - 11 Oct 2016,"1 Chinese, 3 Taiwanese magkahiwalay na natagpuang patay | Ulat ni Gracie Rutao",@DZMMTeleRadyo
6:37 AM 11 Oct 2016,"Operasyon ng Pasig River Ferry Service, suspendido pa rin dahil sa mga nakabarang water lilies | via @Dennis_Datu",@DZMMTeleRadyo
9:02 PM - 12 Oct 2016,"Pagbaba ng rating ni Duterte, dapat pag-aralan ayon kay Lacson - DZIQ Radyo Inquirer 990AM",@dzIQ990
8:59 PM - 12 Oct 2016,"Konstruksyon ng Mega Drug Rehab Center sa Nueva Ecija, halos nangangalahati na - DZIQ Radyo Inquirer 990AM",@dzIQ990
8:57 PM - 12 Oct 2016,"UN panel, pinatitigil na ang umano'y EJK na nagaganap sa Pilipinas - DZIQ Radyo Inquirer 990AM",@dzIQ990
7:35 PM - 12 Oct 2016,"Chikungunya outbreak, idineklara sa isang lungsod sa Leyte - DZIQ Radyo Inquirer 990AM",@dzIQ990
6:46 PM - 12 Oct 2016,"UPDATE: 2 patay, 24 sugatan sa pagsabog ng tindahan ng paputok sa Bocaue, Bulacan shar.es/1E7jGp | @erwinaguilonINQ",@dzIQ990
4:16 PM - 12 Oct 2016,"4 na miyembro ng Duterte Cabinet, lusot na sa Commission on Appointments - DZIQ Radyo Inquirer 990AM",@dzIQ990
3:32 PM - 12 Oct 2016,Pulis inaresto ng PDEA sa pagbebenta ng shabu sa Zamboanga - DZIQ Radyo Inquirer 990AM,@dzIQ990
3:24 PM - 12 Oct 2016,"Sugatan sa pagsabog sa Bocaue, Bulacan 24 na shar.es/1E7awm | @erwinaguilonINQ",@dzIQ990
1:32 PM - 12 Oct 2016,"UPDATE: 1 patay, 6 sugatan sa pagsabog na naganap sa pagawaan ng paputok sa Bocaue, Bulacan",@dzIQ990
9:51 AM - 12 Oct 2016,"Orbos: 370,000 one way everyday ang dami ng dumadaang sasakyan sa EDSA | radyo.inquirer.net",@dzIQ990
8:36 AM - 12 Oct 2016,"JUST IN: Mga pasahero ng #MRT3, pinababa sa bahagi ng Magallanes Station Northbound kaninang 8:27AM dahil sa train failure | @dotcmrt3",@dzIQ990
10:56 AM - 11 Oct 2016,"Death penalty, walang lugar sa 21st century' - Ban Ki-moon - DZIQ Radyo Inquirer 990AM",@dzIQ990
8:14 AM - 11 Oct 2016,20 katao patay sa pagguho ng apat na gusali sa China - DZIQ Radyo Inquirer 990AM,@dzIQ990
5:07 AM - 11 Oct 2016,"Pangulong Duterte, makikusap sa China na payagang makapangisda ang mga Pinoy sa Scarborough shoal  shar.es/1Eqq9W | @chonayu1",@dzIQ990
5:01 AM - 11 Oct 2016,"Sariling emergency hotline 122, ilulunsad ng Quezon City shar.es/1EqqHS | @kbdaenlle",@dzIQ990
4:59 AM - 11 Oct 2016,Daan-daang mga namatay sa Haiti dahil sa hurricane ‘Matthew’ inilibing sa mass graves shar.es/1Eq2P4 | @kbdaenlle,@dzIQ990
10:47 PM - 10 Oct 2016,"De Lima, tumanggap umano ng P14.3 million mula kay ex-BuCor chief Ragos - DZIQ Radyo Inquirer 990AM",@dzIQ990
