Date & Time,Tweets,Accounts
3/23/16 15:24,#EarthquakePH Information No. 1 23 Mar 2016 - 02:59 PM Location: Marihatag (Surigao Del Sur) Magnitude: 3.1,@philredcross 
3/22/16 21:39,#EarthquakePH Information No.1 22Mar-09:16PM Location:San Julian (Eastern Samar) Magnitude: 2.6 |via @phivolcs_dost,@philredcross 
3/5/16 12:32,#EarthquakePH Information No. 1 Date and Time: 05 Mar 2016 - 11:58 AM Magnitude: 2.4 Location: Calatagan (Batangas),@philredcross 
6/6/16 21:28,#EarthquakePH #EarthquakeDavaoOccidental Earthquake Information No. 1 Date and Time: 06 June 2016 - 09:10 PM Magnitude = 3.5,@phivolcs_dost
5/23/16 5:05,#EarthquakePH #EarthquakePangasinan Earthquake Information No. 1 Date and Time: 23 May 2016 - 04:39 AM Magnitude:2.8,@phivolcs_dost
4/18/16 2:34,#EarthquakePH #EarthquakeSurigaoDelSur Earthquake Information No. 1 Date and Time: 18 Apr 2016 - 02:21 AM Magnitude = 3.5,@phivolcs_dost
4/17/16 20:48,#EarthquakePH #EarthquakeTarlac Earthquake Information No. 1 Date and Time: 17 Apr 2016 - 08:24 PM Magnitude :2.1,@phivolcs_dost
3/30/16 2:24,#EarthquakePH #EarthquakeCagayan Earthquake Information No. 1 Date and Time: 30 Mar 2016 - 02:07 AM Magnitude = Magnitude = 2.3,@phivolcs_dost
3/16/16 20:05,#EarthquakePH Information No. 1 16Mar-07:39pm Magnitude: 3.4 Location: San Esteban (Ilocos Sur) | via @phivolcs_dost,@philredcross 
3/13/16 14:14,#EarthquakePH Information No. 1 13Mar-01:51PM Magnitude:4.7 Location: Paracle (Camarines Norte) | via @phivolcs_dost,@philredcross 
3/7/16 20:12,#EarthquakePH #EarthquakeNueva Vizcaya Earthquake Information No. 1 Date and Time: 07 Mar 2016 - 07:45 PM..,@phivolcs_dost
3/6/16 15:24,#EarthquakePH Information No. 1 Magnitude: 2.2 Location: Mamburao (Occidental Mindoro) | via @phivolcs_dost,@philredcross 
3/5/16 12:32,#EarthquakePH Information No. 1 Date and Time: 05 Mar 2016 - 11:58 AM Magnitude: 2.4 Location: Calatagan (Batangas),@philredcross 
3/2/16 8:27,#EarthquakePH Info No. 1 02Mar2016-08:03AM Location: Burgos (Surigao Del Norte) Magnitude: 3.8 | via @phivolcs_dost,@philredcross 
6/7/16 4:42,#EarthquakePH #EarthquakeDavaoOccidental Earthquake Information No. 1 Date and Time: 07 June 2016 - 08:23 PM Magnitude = 3.8,@phivolcs_dost
3/2/16 7:25,#EarthquakePH Information No. 1 Magnitude = 2.6 Location: Anda (Bohol) | via @phivolcs_dost,@philredcross 
3/2/16 0:12,#EarthquakePH Information No. 1 Date and Time: 01 Mar 2016 - 11:45 PM Magnitude: Ms 3.1 Location: Calayan (Cagayan),@philredcross 
2/22/16 22:24,#EarthquakePH Information No. 2 Location: Calatagan (Batangas) Depth: 091 Magnitude: Ms 4.4 | via @phivolcs_dost,@philredcross 
6/6/16 5:59,#EarthquakePH #EarthquakeSultanKudarat Earthquake Information No. 1 Date and Time: 06 June 2016 - 09:45 PM Magnitude = 2.5,@phivolcs_dost
6/6/16 5:28,#EarthquakePH #EarthquakeDavaoOccidental Earthquake Information No. 1 Date and Time: 06 June 2016 - 09:10 PM Magnitude = 3.5 ,@phivolcs_dost
5/6/16 18:37,#EarthquakePH #EarthquakeIlocosSur Earthquake Information No. 1 Date and Time: 06 June 2016 - 09:56 AM Magnitude = 2.5,@phivolcs_dost
6/5/16 17:29,#EarthquakePH #EarthquakeEasternSamar Earthquake Information No. 1 Date and Time: 06 June 2016 - 09:03 AM Magnitude: 4.1,@phivolcs_dost
6/5/16 13:48,#EarthquakePH #EarthquakeNegrosOccidental Earthquake Information No. 1 Date and Time: 06 June 2016 - 05:17 AM Magnitude: 1.5,@phivolcs_dost
6/6/16 11:10,#EarthquakePH #EarthquakeMountainProvince Earthquake Information No. 1 Date and Time: 06 June 2016 - 02:41 AM Magnitude: 3.3,@phivolcs_dost
6/6/16 9:38,#EarthquakePH #EarthquakeDavaoOriental Earthquake Information No. 1 Date and Time: 06 June 2016 - 01:13 AM Magnitude = 3.1,@phivolcs_dost
6/5/16 11:07,#EarthquakePH #EarthquakeBataan Earthquake Information No. 1 Date and Time: 05 June 2016 - 02:29 AM Magnitude = 2.4,@phivolcs_dost
6/4/16 5:38,#EarthquakePH #EarthquakeSurigaoDelNorte Earthquake Information No. 1 Date and Time: 04 June 2016 - 09:12 PM Magnitude = 3.2,@phivolcs_dost
6/4/16 1:27,#EarthquakePH #EarthquakeBohol Earthquake Information No. 1 Date and Time: 04 June 2016 - 05:07 PM Magnitude = 2.0,@phivolcs_dost
6/4/16 1:09,#EarthquakePH #EarthquakeSurigaodelNorte Earthquake Information No. 1 Date and Time: 04 June 2016 - 05:53 PM Magnitude = 3.6,@phivolcs_dost
6/4/16 0:43,#EarthquakePH #EarthquakeSurigaodelNorte Earthquake Information No. 1 Date and Time: 04 June 2016 - 04:20 PM Magnitude = 3.1,@phivolcs_dost
12/13/14 7:13,"#RadyoPatrol Halaga ng pinsalang idinulot ni #RubyPH, umabot na sa P3.3 bilyon",@DZMMTeleRadyo
6/3/16 20:33,#EarthquakePH #EarthquakeOccidentalMindoro Earthquake Information No. 1 Date and Time: 04 June 2016 - 12:09 PM Magnitude= 2.1,@phivolcs_dost
6/3/16 16:14,#EarthquakePH #EarthquakeOccidentalMindoro Earthquake Information No. 1 Date and Time: 04 June 2016 - 8:03 AM Magnitude = 2.8,@phivolcs_dost
6/3/16 12:14,#EarthquakePH #EarthquakeOccidentalMindoro Earthquake Information No. 1 Date and Time: 04 June 2016 - 3:50 AM Magnitude = 2.4,@phivolcs_dost
1/10/16 3:47,"#Mindanao, #Binaha #Dahil sa #Bagyong '#Onyok'",@ABSCBNNews
6/3/16 12:13,#EarthquakePH #EarthquakeSurigaoDelSur Earthquake Information No. 1 Date and Time: 04 June 2016 - 3:49 AM Magnitude = 2.4,@phivolcs_dost
6/3/16 9:59,#EarthquakePH #EarthquakeNorthernSamar Earthquake Information No. 2 Date and Time: 04 June 2016 - 1:13 AM Magnitude = 4.1,@phivolcs_dost
6/3/16 9:58,#EarthquakePH #EarthquakeNorthernSamar Earthquake Information No. 1 Date and Time: 04 June 2016 - 1:13 AM Magnitude = 3.8,@phivolcs_dost
6/2/16 21:33,#EarthquakePH #EarthquakeAgusanDelNorte #iFelt_AgusanDelNorte Earthquake Information No. 2 Date and Time: 02 June Magnitude = 4.2,@phivolcs_dost
6/3/16 5:18,#EarthquakePH #EarthquakeOccidentalMindoro Earthquake Information No. 1 Date and Time: 03 June 2016 - 8:56 PM Magnitude = 2.4,@phivolcs_dost
6/3/16 4:51,#EarthquakePH #EarthquakeBatanes Earthquake Information No. 2 Date and Time: 03 June 2016 - 7:50 PM Magnitude = 5.1,@phivolcs_dost
12/16/15 0:52,"#Onyok, inaasahang tatama sa silangang bahagi ng MIndanao, Biyernes ng hapon",@DZMMTeleRadyo
6/2/16 1:15,#EarthquakePH #EarthquakePangasinan Earthquake Information No. 1 Date and Time: 02 June 2016 - 04:59 PM Magnitude = 2.4,@phivolcs_dost
6/1/16 22:29,#EarthquakePH #EarthquakeOccidentalMindoro Earthquake Information No. 1 Date and Time: 02 June 2016 - 02:11 PM Magnitude = 2.2,@phivolcs_dost
7/11/15 4:05,Typhoon #FalconPH umalis na ng bansa ngunit habagat patuloy na magpapaulan sa malaking bahagi ng bansa. #MagandangUmagaPilipinas,@dzrhnews
6/9/16 17:07,"#LINDOL - Magnitude 5 (3:54AM) - 12 km SW of Ambaguio, Nueva Vizcaya",@IMReadyPH
6/9/16 14:31,"Nueva Vizcaya, niyanig ng magnitude 5 na lindol kaninang madaling araw #ACSBalita",@dzrhnews
6/9/16 13:29,"Nueva Vizcaya, niyanig ng magnitude 4.7 na lindol. #DobolBBalitangBalita",@dzbb
6/9/16 12:57,"Ambaguio, Nueva Vizcaya, niyanig ng magnitude 4.7 na lindol kaninang 3:54am ayon kay Robert Tiglao ng @phivolcs_dost",@dzbb
6/3/16 4:16,"JUST IN: Itbayat, Batanes, niyanig ng magnitude 5.3 na lindol kaninang alas 7:50 ng gabi ayon sa @phivolcs_dost",@dzIQ990
