User,Category,Tweet,Date & Time
@dzrhnews,Earthquake,FLASH: Nueva Vizcaya niyanig ng magnitude 4.8 na lindol kaninang 2:52 ng madaling araw. | via @phivolcs_dost,3/23/16 15:24
@dzbb,Earthquake,Robert Tiglao ng @phivolcs_dost: Naramdaman ang lindol sa lakas ng intensity 3 sa Baguio City.,3/22/16 21:39
@dzbb,Earthquake,"Occidental Mindoro, niyanig ng magnitude 4.8 na lindol kaninang hatinggabi. | @olanbola",3/5/16 12:32
@dzrhnews,Earthquake,"JUST IN: Magnitude 3.8 lindol tumama sa Sagbayan, Bohol (1:48pm)",6/6/16 21:28
@dwiz882,Earthquake,"Magnitude 4.68 na lindol, tumama sa Santa Catalina, Ilocos Sur pasado 7:58 ng umaga, May 24 | via @phivolcs_dost",5/23/16 5:05
@dziq990,Earthquake,JUST IN: Niyanig ng magnitude 4.6 na lindol ang Santa Catalina (Ilocos Sur) kaninang 7:58 ng umaga | @phivolcs_dost,4/18/16 2:34
@dzbb,Earthquake,"JUST IN: Anahawan, Southern Leyte, niyanig ng magnitude 2.9 na lindol; intensity II, naramdaman sa San Francisco. äóî PHIVOLCS",4/17/16 20:48
@dziq990,Earthquake,"Tandag, Surigao del Sur niyanig ng magnitude 3.4 na lindol kaninang 4:19AM | @phivolcs_dost",3/30/16 2:24
@dzrhnews,Earthquake,"EARLIER: Itbayat, Batanes niyanig ng magnitude 4.2 na lindol (7:58am)",3/16/16 20:05
@dzbb,Earthquake,"UPDATED: Burdeos, Quezon, niyanig ng Magnitude 4.4 na lindol alas 7:14 ng gabi. | @phivolcs_dost",3/13/16 14:14
@IMReadyPH,Earthquake,"Sa latest update ng @phivolcs_dost, Magnitude 4.3 ang sukat nila sa #lindol na ang sentro ay 30km NE ng Catbalogan, Samar",3/7/16 20:12
@dzbb,Earthquake,"Batanes, niyanig ng 4.5 magnitude na lindol kaninang 4:21pm. | via @wengsalvacion",3/6/16 15:24
@dzrhnews,Earthquake,"JUST IN: Magnitude 4.4 lindol naitala sa Sarangani,Davao Occidental(4:38PM) http://fb.me/1dGLertlt I @phivolcs_dost",3/5/16 12:32
